term,definition,category,main_ingredients
Crab Cakes,"Patties made from crab meat, breadcrumbs, and seasonings, pan-fried and served with remoulade sauce.",Appetizer,crab
Sliders,"Mini burgers with beef patties, cheese, and toppings like lettuce and tomato, served on small buns.",Appetizer,beef,cheese
Chicken Tenders,"Breaded and fried chicken strips, served with dipping sauces like honey mustard or barbecue.",Appetizer,chicken
Fried Pickles,"Pickle slices battered and fried, served with ranch or spicy dipping sauce.",Appetizer,pickles
Cheese Platter,"Assorted cheeses like cheddar, brie, and gouda, served with crackers, grapes, and nuts.",Appetizer,cheese
Meatballs,"Small balls of ground meat, often beef or pork, simmered in tomato sauce or served with a glaze.",Appetizer,beef,pork
Clams Casino,"Baked clams topped with breadcrumbs, bacon, and a buttery herb mixture.",Appetizer,clams,bacon
Ahi Tuna Tartare,"Raw, diced tuna mixed with soy sauce, sesame oil, and spices, served with wonton chips.",Appetizer,tuna
Fried Green Tomatoes,"Sliced green tomatoes coated in cornmeal or flour and fried, often served with remoulade.",Appetizer,tomatoes
Antipasto Skewers,"Bite-sized skewers with olives, mozzarella, salami, and cherry tomatoes, drizzled with balsamic.",Appetizer,mozzarella,salami,tomatoes
Bacon-Wrapped Scallops,"Sea scallops wrapped in bacon, grilled or baked, and served with a glaze or lemon.",Appetizer,scallops,bacon
Caprese Salad,"Sliced tomatoes, fresh mozzarella, and basil, drizzled with olive oil and balsamic reduction.",Appetizer,tomatoes,mozzarella
Egg Rolls,"Crispy, fried rolls filled with cabbage, pork, or shrimp, served with sweet and sour sauce.",Appetizer,pork,shrimp,cabbage
Ceviche,"Raw fish or shrimp marinated in lime juice with onions, cilantro, and peppers, served chilled.",Appetizer,fish,shrimp
Pretzel Bites,"Soft, bite-sized pretzels served with warm cheese sauce or mustard.",Appetizer,pretzels,cheese
Fried Mac and Cheese Balls,"Balls of macaroni and cheese, breaded and fried, served with marinara or ranch.",Appetizer,cheese,pasta
Tater Tots,"Crispy, fried potato nuggets, often served with ketchup or cheese sauce.",Appetizer,potatoes
Stuffed Bell Peppers,"Mini bell peppers filled with cream cheese, sausage, or spiced rice, then baked.",Appetizer,peppers,cheese,sausage
Baked Brie,"Brie cheese baked until gooey, often topped with jam or nuts, served with crackers.",Appetizer,cheese
Shrimp Tempura,"Lightly battered and fried shrimp, served with soy sauce or sweet chili dip.",Appetizer,shrimp
Chicken Satay,"Grilled chicken skewers marinated in peanut sauce, served with extra sauce for dipping.",Appetizer,chicken
Mini Quiches,"Small pastry crusts filled with egg, cheese, and fillings like spinach or bacon, baked until set.",Appetizer,eggs,cheese
Chips and Salsa,"Tortilla chips paired with a fresh tomato-based salsa with onions, cilantro, and lime.",Appetizer,tortilla chips,tomatoes
Garlic Bread,"Sliced bread topped with garlic butter and herbs, toasted until crispy.",Appetizer,bread
Cucumber Bites,"Cucumber slices topped with cream cheese, dill, and smoked salmon or cherry tomatoes.",Appetizer,cucumber,cheese
Fried Zucchini,"Zucchini slices battered and fried, served with marinara or ranch dressing.",Appetizer,zucchini
Taquitos,"Small corn tortillas rolled with beef or chicken, fried, and served with salsa or guacamole.",Appetizer,beef,chicken,tortilla
Pimento Cheese Dip,"Creamy spread of cheddar, pimentos, and mayonnaise, served with crackers or celery.",Appetizer,cheese
Bacon-Wrapped Dates,"Dates stuffed with cheese or almonds, wrapped in bacon, and baked until crispy.",Appetizer,dates,bacon
Chili Cheese Fries,"French fries topped with chili and melted cheese, often garnished with onions.",Appetizer,potatoes,cheese,beef
Sausage Balls,"Bite-sized balls of sausage, cheese, and biscuit mix, baked until golden.",Appetizer,sausage,cheese
Avocado Toast Bites,"Small toasts topped with mashed avocado, tomato, and seasonings like red pepper flakes.",Appetizer,avocado,tomatoes
Mini Tacos,"Tiny tortillas filled with seasoned beef, chicken, or fish, topped with lettuce and cheese.",Appetizer,beef,chicken,fish,tortilla
Sweet Potato Fries,"Crispy fried sweet potato sticks, served with a dipping sauce like honey mustard.",Appetizer,sweet potatoes
French Fries,"Deep-fried potato strips, crispy on the outside and soft inside.",Side,potatoes
Mashed Potatoes,"Creamy mashed potatoes often served with gravy.",Side,potatoes
Baked Potato,"Whole potato baked and often topped with butter or sour cream.",Side,potatoes
Potato Salad,"Cold salad of boiled potatoes mixed with mayo and seasonings.",Side,potatoes
Coleslaw,"Shredded cabbage and carrots in a tangy dressing.",Side,cabbage,carrots
Macaroni and Cheese,"Elbow pasta in a creamy cheese sauce.",Side,pasta,cheese
Green Beans,"Cooked or sautéed green beans, often seasoned or with almonds.",Side,green beans
Steamed Broccoli,"Broccoli florets lightly steamed and served as a healthy side.",Side,broccoli
Corn on the Cob,"Boiled or grilled corn served on the cob.",Side,corn
Cornbread,"Baked bread made with cornmeal, often slightly sweet.",Side,cornmeal
Dinner Rolls,"Soft, small yeast rolls served with butter.",Side,bread
Garlic Bread,"Bread slices topped with garlic butter and baked.",Side,bread
Onion Rings,"Sliced onions battered and deep-fried.",Side,onions
Tater Tots,"Small, grated potato bites deep-fried to crispy perfection.",Side,potatoes
Side Salad,"Small salad typically served with lettuce, tomatoes, and dressing.",Side,lettuce,tomatoes
Caesar Salad,"Romaine lettuce with Caesar dressing, croutons, and Parmesan.",Side,lettuce,cheese
Pasta Salad,"Cold pasta mixed with vegetables and dressing.",Side,pasta
Rice Pilaf,"Seasoned rice dish often with vegetables or nuts.",Side,rice
Fried Okra,"Okra pieces battered and deep-fried.",Side,okra
Baked Beans,"Beans in a sweet or savory tomato-based sauce.",Side,beans
Sweet Potato Fries,"Thin sweet potato strips deep-fried.",Side,sweet potatoes
Sweet Potato Casserole,"Mashed sweet potatoes baked with brown sugar and marshmallows.",Side,sweet potatoes
Stuffing,"Seasoned bread mixture often served at holidays.",Side,bread
Gravy,"Savory sauce poured over meat or mashed potatoes.",Side,none
Deviled Eggs,"Hard-boiled eggs with a seasoned yolk-mayo filling.",Side,eggs
Pickles,"Crisp cucumber slices cured in vinegar and seasonings.",Side,cucumber
Brussels Sprouts,"Small cabbage-like vegetables roasted or sautéed.",Side,brussels sprouts
Roasted Carrots,"Carrots baked in the oven, often with herbs.",Side,carrots
Cucumber Salad,"Chilled cucumbers in vinegar or yogurt dressing.",Side,cucumber
Fruit Salad,"Mix of fresh fruits, sometimes with a sweet dressing.",Side,fruit
Applesauce,"Pureed cooked apples often sweetened or spiced.",Side,apples
Chips and Salsa,"Tortilla chips served with tomato salsa.",Side,tortilla chips,tomatoes
Mozzarella Sticks,"Breaded and fried cheese sticks.",Side,cheese
Zucchini Fritters,"Grated zucchini formed into patties and fried.",Side,zucchini
Hush Puppies,"Deep-fried cornmeal balls often served with seafood.",Side,cornmeal
Fried Green Tomatoes,"Unripe tomatoes battered and fried.",Side,tomatoes
Sauteed Spinach,"Spinach leaves cooked lightly with garlic and oil.",Side,spinach
Creamed Spinach,"Spinach in a creamy white sauce.",Side,spinach
Broccoli Casserole,"Baked dish with broccoli, cheese, and breadcrumbs.",Side,broccoli,cheese
Glazed Carrots,"Carrots cooked with brown sugar and butter.",Side,carrots
Ratatouille,"French vegetable stew often served as a side.",Side,eggplant,zucchini,tomatoes
Roasted Potatoes,"Cubed or wedged potatoes roasted with herbs.",Side,potatoes
Wild Rice,"Nutty-flavored rice often used as a pilaf.",Side,rice
Polenta,"Creamy cornmeal often served as a savory side.",Side,cornmeal
Grilled Vegetables,"Assorted vegetables grilled and seasoned.",Side,vegetables
Cranberry Sauce,"Sweet-tart sauce served with turkey.",Side,cranberries
Cabbage Slaw,"Cabbage and carrot salad with vinegar dressing.",Side,cabbage,carrots
Beet Salad,"Beets served chilled with vinaigrette or goat cheese.",Side,beets
Cauliflower Mash,"Creamy mashed cauliflower as a low-carb substitute.",Side,cauliflower
Eggplant Caponata,"Italian eggplant relish with tomato and vinegar.",Side
